Gene ID	source_id	Genomic Location (Gene)	Product Description	Selected Samples that match	Sum of Unique Peptides (Within Samples)	Unique Peptides (Across Samples)
PF3D7_1329400	PF3D7_1329400.1	Pf3D7_13_v3:1,242,635..1,247,339(+)	AMP deaminase	5	15	11
PF3D7_1329500	PF3D7_1329500.1	Pf3D7_13_v3:1,250,030..1,258,393(+)	conserved protein, unknown function	10	26	21
PF3D7_1329600	PF3D7_1329600.1	Pf3D7_13_v3:1,258,409..1,260,377(-)	conserved Plasmodium protein, unknown function	1	1	1
PF3D7_1330000	PF3D7_1330000.1	Pf3D7_13_v3:1,271,713..1,273,859(+)	PITH domain-containing protein, putative	16	78	16
PF3D7_1330000	PF3D7_1330000.2	Pf3D7_13_v3:1,271,713..1,273,859(+)	PITH domain-containing protein, putative	11	28	13
PF3D7_1330300	PF3D7_1330300.1	Pf3D7_13_v3:1,275,888..1,278,531(-)	DnaJ protein, putative	3	5	2
PF3D7_1330400	PF3D7_1330400.1	Pf3D7_13_v3:1,278,881..1,281,897(-)	ER lumen protein retaining receptor 1, putative	19	58	14
PF3D7_1330500	PF3D7_1330500.1	Pf3D7_13_v3:1,284,735..1,287,844(+)	CTLH domain-containing protein, putative	4	11	9
PF3D7_1330600	PF3D7_1330600.1	Pf3D7_13_v3:1,287,674..1,289,679(-)	elongation factor Tu, putative	15	74	24
PF3D7_1330700	PF3D7_1330700.1	Pf3D7_13_v3:1,289,960..1,293,507(+)	GPI transamidase subunit PIG-U, putative	2	3	2
PF3D7_1330800	PF3D7_1330800.1	Pf3D7_13_v3:1,293,638..1,297,395(+)	RNA-binding protein, putative	23	96	38
PF3D7_1331000	PF3D7_1331000.1	Pf3D7_13_v3:1,297,070..1,299,355(-)	protein kinase, putative	1	1	1
PF3D7_1331200	PF3D7_1331200.1	Pf3D7_13_v3:1,305,681..1,308,163(+)	conserved Plasmodium protein, unknown function	1	1	1
PF3D7_1331300	PF3D7_1331300.1	Pf3D7_13_v3:1,308,678..1,310,348(+)	signal peptidase complex catalytic subunit SEC11	12	45	8
PF3D7_1331400	PF3D7_1331400.1	Pf3D7_13_v3:1,310,771..1,312,216(+)	CPW-WPC family protein	2	3	3
PF3D7_1331500	PF3D7_1331500.1	Pf3D7_13_v3:1,313,440..1,316,380(+)	ATF7-int domain-containing protein, putative	1	1	1
PF3D7_1331600	PF3D7_1331600.1	Pf3D7_13_v3:1,316,161..1,317,997(-)	3-hydroxyacyl-CoA dehydratase DEH	5	7	2
PF3D7_1331700	PF3D7_1331700.1	Pf3D7_13_v3:1,318,841..1,323,158(-)	glutamine--tRNA ligase, putative	16	243	60
PF3D7_1331800	PF3D7_1331800.1	Pf3D7_13_v3:1,322,579..1,325,044(+)	60S ribosomal protein L23, putative	23	97	17
PF3D7_1332000	PF3D7_1332000.1	Pf3D7_13_v3:1,325,849..1,328,634(-)	syntaxin, Qa-SNARE family	16	60	21
PF3D7_1332100	PF3D7_1332100.1	Pf3D7_13_v3:1,329,491..1,331,059(+)	conserved protein, unknown function	1	1	1
PF3D7_1332200	PF3D7_1332200.1	Pf3D7_13_v3:1,332,221..1,335,647(+)	conserved protein, unknown function	13	29	21
PF3D7_1332300	PF3D7_1332300.1	Pf3D7_13_v3:1,335,713..1,337,184(+)	trafficking protein particle complex subunit 2, putative	9	27	6
PF3D7_1332400	PF3D7_1332400.1	Pf3D7_13_v3:1,336,921..1,340,631(-)	nucleotidyltransferase, putative	3	4	4
PF3D7_1332600	PF3D7_1332600.1	Pf3D7_13_v3:1,340,764..1,344,123(-)	DNA-(apurinic or apyrimidinic site) lyase 1	22	84	28
PF3D7_1332700	PF3D7_1332700.1	Pf3D7_13_v3:1,344,509..1,347,450(-)	ATP-dependent RNA helicase DBP8, putative	2	3	2
PF3D7_1332800	PF3D7_1332800.1	Pf3D7_13_v3:1,347,359..1,349,852(+)	eukaryotic translation initiation factor 6, putative	18	43	12
PF3D7_1332900	PF3D7_1332900.1	Pf3D7_13_v3:1,349,542..1,354,540(-)	isoleucine--tRNA ligase, putative	26	501	96
PF3D7_1333000	PF3D7_1333000.1	Pf3D7_13_v3:1,354,881..1,357,621(+)	20 kDa chaperonin	16	94	19
PF3D7_1333100	PF3D7_1333100.1	Pf3D7_13_v3:1,357,703..1,360,831(-)	conserved Plasmodium protein, unknown function	2	2	2
PF3D7_1333200	PF3D7_1333200.1	Pf3D7_13_v3:1,360,971..1,367,998(+)	ubiquitin-activating enzyme	3	3	3
PF3D7_1333300	PF3D7_1333300.1	Pf3D7_13_v3:1,367,637..1,369,621(-)	transmembrane emp24 domain-containing protein, putative	10	32	8
PF3D7_1333400	PF3D7_1333400.1	Pf3D7_13_v3:1,369,452..1,370,905(+)	AMMECR1 domain-containing protein, putative	14	86	14
PF3D7_1333500	PF3D7_1333500.1	Pf3D7_13_v3:1,371,664..1,373,056(+)	conserved Plasmodium protein, unknown function	1	1	1
PF3D7_1333600	PF3D7_1333600.1	Pf3D7_13_v3:1,372,985..1,377,791(-)	U3 small nucleolar RNA-associated protein 4, putative	5	8	6
PF3D7_1333700	PF3D7_1333700.1	Pf3D7_13_v3:1,378,294..1,380,973(-)	histone H3-like centromeric protein CSE4	6	18	13
PF3D7_1333800	PF3D7_1333800.1	Pf3D7_13_v3:1,380,836..1,383,978(+)	Voldacs domain-containing protein, putative	22	56	16
PF3D7_1333900	PF3D7_1333900.1	Pf3D7_13_v3:1,384,922..1,389,288(+)	conserved Plasmodium protein, unknown function	1	2	2
PF3D7_1334000	PF3D7_1334000.1	Pf3D7_13_v3:1,389,425..1,391,366(-)	RING zinc finger protein, putative	3	7	7
PF3D7_1334100	PF3D7_1334100.1	Pf3D7_13_v3:1,392,263..1,396,454(-)	origin recognition complex subunit 4, putative	10	91	50
PF3D7_1334200	PF3D7_1334200.1	Pf3D7_13_v3:1,397,512..1,399,983(+)	chaperone binding protein, putative	22	118	34
PF3D7_1334300	PF3D7_1334300.1	Pf3D7_13_v3:1,400,682..1,402,748(-)	MSP7-like protein	5	6	6
PF3D7_1334400	PF3D7_1334400.1	Pf3D7_13_v3:1,403,522..1,404,451(-)	MSP7-like protein	1	2	2
PF3D7_1334500	PF3D7_1334500.1	Pf3D7_13_v3:1,405,046..1,408,182(-)	MSP7-like protein	14	89	39
PF3D7_1334600	PF3D7_1334600.1	Pf3D7_13_v3:1,408,270..1,410,124(-)	MSP7-like protein	2	4	4
PF3D7_1334700	PF3D7_1334700.1	Pf3D7_13_v3:1,410,493..1,412,171(-)	MSP7-like protein	3	4	4
PF3D7_1334800	PF3D7_1334800.1	Pf3D7_13_v3:1,412,213..1,413,947(-)	MSP7-like protein	7	32	17
PF3D7_1335000	PF3D7_1335000.1	Pf3D7_13_v3:1,415,833..1,417,543(-)	MSP7-like protein	5	12	6
PF3D7_1335100	PF3D7_1335100.1	Pf3D7_13_v3:1,418,213..1,421,552(-)	merozoite surface protein 7	15	109	38
PF3D7_1335300	PF3D7_1335300.1	Pf3D7_13_v3:1,428,350..1,439,462(-)	reticulocyte binding protein 2 homologue b	8	37	32
PF3D7_1335400	PF3D7_1335400.1	Pf3D7_13_v3:1,440,169..1,451,101(+)	reticulocyte binding protein 2 homologue a	8	49	38
PF3D7_1335500	PF3D7_1335500.1	Pf3D7_13_v3:1,451,489..1,453,443(+)	DNA replication complex GINS protein, putative	4	37	19
PF3D7_1335600	PF3D7_1335600.1	Pf3D7_13_v3:1,454,260..1,456,075(+)	WD repeat-containing protein, putative	1	1	1
PF3D7_1335700	PF3D7_1335700.1	Pf3D7_13_v3:1,456,097..1,461,662(-)	conserved oligomeric Golgi complex subunit 3, putative	12	24	18
PF3D7_1335800	PF3D7_1335800.1	Pf3D7_13_v3:1,462,045..1,464,260(+)	conserved Plasmodium protein, unknown function	1	3	2
PF3D7_1335900	PF3D7_1335900.1	Pf3D7_13_v3:1,464,895..1,466,619(-)	thrombospondin-related anonymous protein	19	359	118
PF3D7_1336000	PF3D7_1336000.1	Pf3D7_13_v3:1,469,753..1,471,997(+)	conserved Plasmodium protein, unknown function	4	9	4
PF3D7_1336200	PF3D7_1336200.1	Pf3D7_13_v3:1,473,321..1,476,255(+)	conserved Plasmodium protein, unknown function	4	8	7
PF3D7_1336300	PF3D7_1336300.1	Pf3D7_13_v3:1,476,333..1,477,407(+)	conserved Plasmodium membrane protein, unknown function	2	4	2
PF3D7_1336400	PF3D7_1336400.1	Pf3D7_13_v3:1,477,391..1,482,233(-)	RanBPM and CLTH-like protein, putative	11	36	14
PF3D7_1336800	PF3D7_1336800.1	Pf3D7_13_v3:1,485,785..1,487,899(+)	nuclear movement protein, putative	17	105	31
PF3D7_1336900	PF3D7_1336900.1	Pf3D7_13_v3:1,487,930..1,490,567(-)	tryptophan--tRNA ligase	14	147	41
PF3D7_1337000	PF3D7_1337000.1	Pf3D7_13_v3:1,491,206..1,494,872(-)	mitochondrial intermediate peptidase, putative	6	21	10
PF3D7_1337100	PF3D7_1337100.1	Pf3D7_13_v3:1,495,106..1,497,722(+)	protein kinase 6	3	4	2
PF3D7_1337200	PF3D7_1337200.1	Pf3D7_13_v3:1,497,877..1,501,494(+)	1-deoxy-D-xylulose 5-phosphate synthase	4	8	6
PF3D7_1337300	PF3D7_1337300.1	Pf3D7_13_v3:1,502,688..1,506,534(+)	exoribonuclease, putative	2	5	5
PF3D7_1337400	PF3D7_1337400.1	Pf3D7_13_v3:1,506,707..1,509,508(+)	zinc finger protein, putative	6	8	7
PF3D7_1337500	PF3D7_1337500.1	Pf3D7_13_v3:1,509,051..1,521,971(-)	conserved Plasmodium protein, unknown function	7	18	11
PF3D7_1337800	PF3D7_1337800.1	Pf3D7_13_v3:1,527,826..1,531,730(-)	calcium-dependent protein kinase 5	3	8	8
PF3D7_1337900	PF3D7_1337900.1	Pf3D7_13_v3:1,533,805..1,535,537(+)	conserved Plasmodium protein, unknown function	2	3	3
PF3D7_1338000	PF3D7_1338000.1	Pf3D7_13_v3:1,535,607..1,540,516(+)	LMBR1 domain-containing protein, putative	2	2	2
PF3D7_1338100	PF3D7_1338100.1	Pf3D7_13_v3:1,540,544..1,544,422(+)	26S proteasome regulatory subunit RPN3, putative	17	211	42
PF3D7_1338200	PF3D7_1338200.1	Pf3D7_13_v3:1,544,563..1,547,358(-)	60S ribosomal protein L6, putative	33	224	30
PF3D7_1338300	PF3D7_1338300.1	Pf3D7_13_v3:1,547,546..1,550,917(+)	elongation factor 1-gamma, putative	36	384	61
PF3D7_1338400	PF3D7_1338400.1	Pf3D7_13_v3:1,550,500..1,553,305(-)	SprT-like domain-containing protein, putative	1	4	4
PF3D7_1338500	PF3D7_1338500.1	Pf3D7_13_v3:1,554,199..1,556,364(+)	conserved Plasmodium protein, unknown function	1	2	2
PF3D7_1338600	PF3D7_1338600.1	Pf3D7_13_v3:1,556,354..1,561,135(-)	conserved protein, unknown function	1	1	1
PF3D7_1338700	PF3D7_1338700.1	Pf3D7_13_v3:1,561,210..1,563,893(-)	conserved protein, unknown function	11	30	18
PF3D7_1338800	PF3D7_1338800.1	Pf3D7_13_v3:1,564,491..1,567,716(-)	CPW-WPC family protein	1	1	1
PF3D7_1338900	PF3D7_1338900.1	Pf3D7_13_v3:1,568,367..1,571,577(-)	serine/threonine protein kinase, putative	4	21	11
PF3D7_1339000	PF3D7_1339000.1	Pf3D7_13_v3:1,572,631..1,573,723(-)	conserved Plasmodium protein, unknown function	4	29	13
PF3D7_1339300	PF3D7_1339300.1	Pf3D7_13_v3:1,579,733..1,585,346(+)	conserved protein, unknown function	4	9	8
PF3D7_1339400	PF3D7_1339400.1	Pf3D7_13_v3:1,585,383..1,586,852(-)	cytochrome c oxidase subunit ApiCOX14, putative	6	23	8
PF3D7_1339600	PF3D7_1339600.1	Pf3D7_13_v3:1,588,075..1,590,380(+)	conserved Plasmodium protein, unknown function	4	7	7
PF3D7_1339700	PF3D7_1339700.1	Pf3D7_13_v3:1,590,184..1,596,674(-)	conserved Plasmodium protein, unknown function	8	67	56
PF3D7_1339800	PF3D7_1339800.1	Pf3D7_13_v3:1,596,717..1,597,962(-)	mitotic-spindle organizing protein 1, putative	2	2	1
PF3D7_1339900	PF3D7_1339900.1	Pf3D7_13_v3:1,598,111..1,601,567(+)	ABC transporter B family member 5, putative	8	24	14
PF3D7_1340000	PF3D7_1340000.1	Pf3D7_13_v3:1,601,698..1,603,554(-)	secreted ookinete protein, putative	1	1	1
PF3D7_1340100	PF3D7_1340100.1	Pf3D7_13_v3:1,603,632..1,605,515(-)	exosome complex component RRP42, putative	2	5	4
PF3D7_1340200	PF3D7_1340200.1	Pf3D7_13_v3:1,605,532..1,606,298(-)	conserved Plasmodium protein, unknown function	1	1	1
PF3D7_1340300	PF3D7_1340300.1	Pf3D7_13_v3:1,606,863..1,610,503(+)	nucleolar complex protein 2, putative	5	11	10
PF3D7_1340500	PF3D7_1340500.1	Pf3D7_13_v3:1,613,155..1,616,805(-)	inner centromere protein, putative	4	18	13
PF3D7_1340600	PF3D7_1340600.1	Pf3D7_13_v3:1,617,537..1,620,495(-)	RNA lariat debranching enzyme, putative	19	110	34
PF3D7_1340700	PF3D7_1340700.1	Pf3D7_13_v3:1,620,976..1,623,379(-)	ras-related protein Rab-11B	17	108	22
PF3D7_1340800	PF3D7_1340800.1	Pf3D7_13_v3:1,622,988..1,625,706(+)	mitochondrial pyruvate carrier protein 1, putative	2	2	2
PF3D7_1340900	PF3D7_1340900.1	Pf3D7_13_v3:1,625,796..1,629,643(+)	sodium-dependent phosphate transporter	15	30	14
PF3D7_1341200	PF3D7_1341200.1	Pf3D7_13_v3:1,633,454..1,635,827(-)	60S ribosomal protein L18, putative	36	218	30
PF3D7_1341300	PF3D7_1341300.1	Pf3D7_13_v3:1,635,428..1,638,062(+)	60S ribosomal protein L18-2, putative	23	66	16
PF3D7_1341500	PF3D7_1341500.1	Pf3D7_13_v3:1,639,020..1,641,267(+)	inner membrane complex suture component, putative	5	40	24
PF3D7_1341800	PF3D7_1341800.1	Pf3D7_13_v3:1,645,735..1,648,368(-)	inner membrane complex protein 1k, putative	14	85	35
PF3D7_1341900	PF3D7_1341900.1	Pf3D7_13_v3:1,649,035..1,651,981(-)	V-type proton ATPase subunit D, putative	16	118	31
PF3D7_1342000	PF3D7_1342000.1	Pf3D7_13_v3:1,652,531..1,655,349(-)	40S ribosomal protein S6	38	290	48
PF3D7_1342100	PF3D7_1342100.1	Pf3D7_13_v3:1,655,461..1,660,193(+)	aconitate hydratase	15	285	58
PF3D7_1342300	PF3D7_1342300.1	Pf3D7_13_v3:1,664,354..1,665,907(+)	tetratricopeptide repeat protein, putative	4	17	7
PF3D7_1342400	PF3D7_1342400.1	Pf3D7_13_v3:1,665,798..1,668,854(-)	casein kinase II beta chain	17	65	13
PF3D7_1342500	PF3D7_1342500.1	Pf3D7_13_v3:1,669,390..1,671,510(-)	sporozoite protein essential for cell traversal	5	51	30
PF3D7_1342600	PF3D7_1342600.1	Pf3D7_13_v3:1,673,239..1,677,299(+)	myosin A	43	685	154
PF3D7_1342800	PF3D7_1342800.1	Pf3D7_13_v3:1,678,802..1,682,001(+)	phosphoenolpyruvate carboxykinase	20	156	43
PF3D7_1342900	PF3D7_1342900.1	Pf3D7_13_v3:1,682,054..1,694,167(-)	AP2 domain transcription factor AP2-HS	6	8	8
PF3D7_1343000	PF3D7_1343000.1	Pf3D7_13_v3:1,695,462..1,699,267(+)	phosphoethanolamine N-methyltransferase	39	434	97
PF3D7_1343100	PF3D7_1343100.1	Pf3D7_13_v3:1,699,588..1,702,492(-)	conserved Plasmodium protein, unknown function	4	16	12
PF3D7_1343200	PF3D7_1343200.1	Pf3D7_13_v3:1,703,564..1,707,279(+)	tRNA guanosine-2'-O-methyltransferase, putative	1	1	1
PF3D7_1343300	PF3D7_1343300.1	Pf3D7_13_v3:1,706,393..1,711,568(-)	CDT1-like protein, putative	19	152	65
PF3D7_1343400	PF3D7_1343400.1	Pf3D7_13_v3:1,714,271..1,719,409(+)	DNA repair protein RAD5, putative	9	63	45
PF3D7_1343700	PF3D7_1343700.1	Pf3D7_13_v3:1,724,600..1,727,877(-)	kelch protein K13	26	216	68
PF3D7_1343800	PF3D7_1343800.1	Pf3D7_13_v3:1,730,093..1,753,967(-)	VPS13 domain-containing protein, putative	10	60	47
PF3D7_1343900	PF3D7_1343900.1	Pf3D7_13_v3:1,755,697..1,758,708(+)	U4/U6 small nuclear ribonucleoprotein PRP4, putative	7	35	12
PF3D7_1344100	PF3D7_1344100.1	Pf3D7_13_v3:1,763,082..1,767,594(+)	TLD domain-containing protein, putative	12	123	48
PF3D7_1344200	PF3D7_1344200.1	Pf3D7_13_v3:1,768,122..1,772,620(+)	endoplasmic reticulum chaperone GRP170	15	432	88
PF3D7_1344300	PF3D7_1344300.1	Pf3D7_13_v3:1,773,639..1,781,932(-)	zinc finger protein, putative	8	27	19
PF3D7_1344500	PF3D7_1344500.1	Pf3D7_13_v3:1,787,599..1,788,926(-)	U6 snRNA phosphodiesterase, putative	1	1	1
PF3D7_1344600	PF3D7_1344600.1	Pf3D7_13_v3:1,789,220..1,790,757(+)	lipoyl synthase	1	1	1
PF3D7_1344700	PF3D7_1344700.1	Pf3D7_13_v3:1,790,894..1,794,920(-)	conserved Plasmodium protein, unknown function	8	18	17
PF3D7_1344800	PF3D7_1344800.1	Pf3D7_13_v3:1,795,375..1,798,284(+)	aspartate carbamoyltransferase	22	216	38
PF3D7_1344900	PF3D7_1344900.1	Pf3D7_13_v3:1,799,856..1,806,394(+)	conserved Plasmodium protein, unknown function	10	39	22
PF3D7_1345000	PF3D7_1345000.1	Pf3D7_13_v3:1,806,661..1,809,617(+)	RING zinc finger protein, putative	1	2	2
PF3D7_1345100	PF3D7_1345100.1	Pf3D7_13_v3:1,809,393..1,810,615(-)	thioredoxin 2	13	23	7
PF3D7_1345200	PF3D7_1345200.1	Pf3D7_13_v3:1,811,227..1,813,968(-)	rhomboid protease ROM6, putative	1	1	1
PF3D7_1345300	PF3D7_1345300.1	Pf3D7_13_v3:1,814,550..1,815,796(-)	cytochrome c oxidase subunit ApiCOX16, putative	6	21	7
PF3D7_1345400	PF3D7_1345400.1	Pf3D7_13_v3:1,816,344..1,821,300(-)	conserved Plasmodium protein, unknown function	14	119	75
PF3D7_1345600	PF3D7_1345600.1	Pf3D7_13_v3:1,825,789..1,828,280(+)	inner membrane complex protein	9	52	23
PF3D7_1345700	PF3D7_1345700.1	Pf3D7_13_v3:1,827,863..1,830,813(-)	isocitrate dehydrogenase [NADP], mitochondrial	22	244	38
PF3D7_1345800	PF3D7_1345800.1	Pf3D7_13_v3:1,830,487..1,835,383(+)	conserved Plasmodium protein, unknown function	14	73	32
PF3D7_1345900	PF3D7_1345900.1	Pf3D7_13_v3:1,835,227..1,837,216(-)	kinetochore protein SPC25, putative	12	40	12
PF3D7_1346000	PF3D7_1346000.1	Pf3D7_13_v3:1,837,752..1,840,105(-)	dynactin subunit 2, putative	9	87	41
PF3D7_1346100	PF3D7_1346100.1	Pf3D7_13_v3:1,842,673..1,844,921(+)	protein transport protein SEC61 subunit alpha	22	115	25
PF3D7_1346200	PF3D7_1346200.1	Pf3D7_13_v3:1,845,502..1,847,873(-)	nuclear import protein MOG1, putative	6	20	6
PF3D7_1346300	PF3D7_1346300.1	Pf3D7_13_v3:1,848,215..1,851,281(+)	DNA/RNA-binding protein Alba 2	36	206	39
PF3D7_1346400	PF3D7_1346400.1	Pf3D7_13_v3:1,852,631..1,871,215(+)	VPS13 domain-containing protein, putative	18	256	156
PF3D7_1346500	PF3D7_1346500.1	Pf3D7_13_v3:1,871,485..1,873,751(+)	conserved Plasmodium protein, unknown function	3	5	5
PF3D7_1346600	PF3D7_1346600.1	Pf3D7_13_v3:1,873,784..1,875,145(-)	respiratory chain complex 2 associated protein 4	9	32	12
PF3D7_1346700	PF3D7_1346700.1	Pf3D7_13_v3:1,875,452..1,878,087(-)	6-cysteine protein P48/45	9	108	33
PF3D7_1346800	PF3D7_1346800.1	Pf3D7_13_v3:1,878,475..1,880,618(-)	6-cysteine protein P47	6	74	25
PF3D7_1347000	PF3D7_1347000.1	Pf3D7_13_v3:1,882,964..1,884,946(-)	WD repeat-containing protein 92, putative	5	26	12
PF3D7_1347100	PF3D7_1347100.1	Pf3D7_13_v3:1,885,939..1,888,476(+)	DNA topoisomerase 3	1	1	1
PF3D7_1347200	PF3D7_1347200.1	Pf3D7_13_v3:1,889,277..1,891,491(-)	nucleoside transporter 1	18	39	18
PF3D7_1347300	PF3D7_1347300.1	Pf3D7_13_v3:1,893,364..1,895,258(-)	conserved Plasmodium membrane protein, unknown function	1	1	1
PF3D7_1347400	PF3D7_1347400.1	Pf3D7_13_v3:1,895,620..1,896,958(+)	conserved Plasmodium protein, unknown function	6	13	4
PF3D7_1347500	PF3D7_1347500.1	Pf3D7_13_v3:1,896,562..1,903,155(-)	DNA/RNA-binding protein Alba 4	45	493	84
PF3D7_1347700	PF3D7_1347700.1	Pf3D7_13_v3:1,907,067..1,911,493(+)	ethanolamine-phosphate cytidylyltransferase	18	127	34
PF3D7_1347800	PF3D7_1347800.1	Pf3D7_13_v3:1,911,507..1,912,832(+)	centrosomal protein CEP72, putative	4	12	4
PF3D7_1347900	PF3D7_1347900.1	Pf3D7_13_v3:1,912,646..1,919,522(-)	conserved Plasmodium protein, unknown function	2	3	3
PF3D7_1348000	PF3D7_1348000.1	Pf3D7_13_v3:1,919,643..1,924,321(-)	conserved Plasmodium protein, unknown function	7	67	33
PF3D7_1348200	PF3D7_1348200.1	Pf3D7_13_v3:1,927,114..1,928,445(+)	step II splicing factor, putative	1	1	1
PF3D7_1348300	PF3D7_1348300.1	Pf3D7_13_v3:1,929,041..1,934,453(-)	elongation factor Tu, putative	5	20	17
PF3D7_1348400	PF3D7_1348400.1	Pf3D7_13_v3:1,935,006..1,947,401(-)	conserved Plasmodium membrane protein, unknown function	5	19	18
PF3D7_1348500	PF3D7_1348500.1	Pf3D7_13_v3:1,950,044..1,952,494(+)	TBC domain protein, putative	9	17	7
PF3D7_1348600	PF3D7_1348600.1	Pf3D7_13_v3:1,952,854..1,954,954(+)	conserved Plasmodium protein, unknown function	6	12	7
PF3D7_1348700	PF3D7_1348700.1	Pf3D7_13_v3:1,955,254..1,958,358(-)	WD repeat-containing protein 16, putative	5	73	35
PF3D7_1348800	PF3D7_1348800.1	Pf3D7_13_v3:1,959,657..1,965,677(+)	E1-E2 ATPase, putative	5	114	64
PF3D7_1348900	PF3D7_1348900.1	Pf3D7_13_v3:1,965,627..1,966,386(-)	conserved Plasmodium protein, unknown function	3	5	2
PF3D7_1349000	PF3D7_1349000.1	Pf3D7_13_v3:1,966,890..1,969,427(-)	conserved Plasmodium protein, unknown function	3	14	8
PF3D7_1349100	PF3D7_1349100.1	Pf3D7_13_v3:1,969,601..1,971,078(-)	nucleoside diphosphate hydrolase, putative	12	97	23
PF3D7_1349200	PF3D7_1349200.1	Pf3D7_13_v3:1,971,557..1,974,585(-)	glutamate--tRNA ligase	27	415	73
PF3D7_1349300	PF3D7_1349300.1	Pf3D7_13_v3:1,976,376..1,982,692(+)	tyrosine kinase-like protein	9	25	20
PF3D7_1349500	PF3D7_1349500.1	Pf3D7_13_v3:1,985,013..1,996,039(-)	conserved Plasmodium protein, unknown function	8	25	24
PF3D7_1349600	PF3D7_1349600.1	Pf3D7_13_v3:1,996,357..1,998,701(+)	spindle and kinetochore-associated protein 3, putative	15	34	18
PF3D7_1349700	PF3D7_1349700.1	Pf3D7_13_v3:1,998,716..1,999,945(+)	peptidase, putative	1	1	1
PF3D7_1349800	PF3D7_1349800.1	Pf3D7_13_v3:2,000,270..2,002,377(+)	GPN-loop GTPase, putative	4	7	6
PF3D7_1350000	PF3D7_1350000.1	Pf3D7_13_v3:2,003,004..2,005,374(-)	conserved Plasmodium protein, unknown function	2	9	5
PF3D7_1350100	PF3D7_1350100.1	Pf3D7_13_v3:2,005,394..2,008,444(-)	lysine--tRNA ligase	26	334	68
PF3D7_1350200	PF3D7_1350200.1	Pf3D7_13_v3:2,009,378..2,010,603(-)	small nuclear ribonucleoprotein E, putative	10	18	4
PF3D7_1350400	PF3D7_1350400.1	Pf3D7_13_v3:2,012,425..2,015,228(+)	ubiquitin-activating enzyme E1, putative	1	1	1
PF3D7_1350500	PF3D7_1350500.1	Pf3D7_13_v3:2,014,953..2,019,472(-)	conserved Plasmodium protein, unknown function	6	8	7
PF3D7_1350600	PF3D7_1350600.1	Pf3D7_13_v3:2,021,350..2,022,307(+)	conserved Plasmodium protein, unknown function	4	60	29
PF3D7_1350900	PF3D7_1350900.1	Pf3D7_13_v3:2,026,229..2,029,960(-)	AP2 domain transcription factor AP2-O4, putative	3	8	8
PF3D7_1351000	PF3D7_1351000.1	Pf3D7_13_v3:2,032,016..2,040,395(+)	phosphatidylinositol transfer protein, putative	12	32	21
PF3D7_1351100	PF3D7_1351100.1	Pf3D7_13_v3:2,039,975..2,042,372(-)	CXXC motif containing zinc binding protein, putative	10	55	11
PF3D7_1351200	PF3D7_1351200.1	Pf3D7_13_v3:2,042,430..2,048,269(+)	conserved Plasmodium protein, unknown function	4	7	7
PF3D7_1351400	PF3D7_1351400.1	Pf3D7_13_v3:2,051,487..2,053,580(+)	60S ribosomal protein L17, putative	34	119	21
PF3D7_1351600	PF3D7_1351600.1	Pf3D7_13_v3:2,055,161..2,057,075(+)	glycerol kinase	9	119	32
PF3D7_1351700	PF3D7_1351700.1	Pf3D7_13_v3:2,058,839..2,064,747(+)	inner membrane complex protein 1f	15	123	82
PF3D7_1351800	PF3D7_1351800.1	Pf3D7_13_v3:2,065,333..2,067,148(+)	conserved Plasmodium protein, unknown function	6	11	5
PF3D7_1351800	PF3D7_1351800.2	Pf3D7_13_v3:2,065,333..2,067,148(+)	conserved Plasmodium protein, unknown function	6	11	5
PF3D7_1351900	PF3D7_1351900.1	Pf3D7_13_v3:2,067,513..2,068,916(-)	conserved protein, unknown function	3	4	3
PF3D7_1352000	PF3D7_1352000.1	Pf3D7_13_v3:2,069,203..2,075,512(+)	GTP-binding protein, putative	3	5	5
PF3D7_1352100	PF3D7_1352100.1	Pf3D7_13_v3:2,075,535..2,079,893(-)	ABC transporter B family member 6, putative	2	2	2
PF3D7_1352400	PF3D7_1352400.1	Pf3D7_13_v3:2,087,113..2,092,848(+)	nucleoporin NUP176, putative	19	128	69
PF3D7_1352500	PF3D7_1352500.1	Pf3D7_13_v3:2,092,297..2,094,680(-)	thioredoxin-related protein, putative	36	233	42
PF3D7_1352600	PF3D7_1352600.1	Pf3D7_13_v3:2,096,326..2,099,369(-)	protein kinase, putative	3	5	2
PF3D7_1352700	PF3D7_1352700.1	Pf3D7_13_v3:2,101,043..2,109,710(+)	intron-binding protein aquarius, putative	15	96	55
PF3D7_1352800	PF3D7_1352800.1	Pf3D7_13_v3:2,110,042..2,113,787(+)	vacuolar fusion protein MON1, putative	18	44	26
PF3D7_1352900	PF3D7_1352900.1	Pf3D7_13_v3:2,113,577..2,116,771(-)	Plasmodium exported protein, unknown function	2	2	1
PF3D7_1353100	PF3D7_1353100.1	Pf3D7_13_v3:2,124,264..2,126,527(-)	Plasmodium exported protein, unknown function	26	91	27
PF3D7_1353200	PF3D7_1353200.1	Pf3D7_13_v3:2,129,062..2,131,680(+)	membrane associated histidine-rich protein 2	20	38	10
PF3D7_1353300	PF3D7_1353300.1	Pf3D7_13_v3:2,132,005..2,139,029(-)	conserved Plasmodium protein, unknown function	9	24	21
PF3D7_1353400	PF3D7_1353400.1	Pf3D7_13_v3:2,139,411..2,143,719(+)	Ran-binding protein, putative	5	13	11
PF3D7_1353600	PF3D7_1353600.1	Pf3D7_13_v3:2,145,221..2,147,873(-)	ER lumen protein retaining receptor	10	36	10
